studentikoos	studentikoze
Pools	
Sardisch	
Galicisch	
Sloveens	
Esperanto	
Litouws	
Lets	
Hongaars	
Fins	
Catalaans	
Spaans	
Armeens	
Hebreeuws	Hebreeuwse
Roemeens	
Fries	
geacht	
Portugees	
live	
camel	
een	
Somalisch	
Bengaals	
Japans	
Birmaans	
Wit-Russisch	
Arabisch	Arabische
Arabisch	Arabische
Macedonisch	
Mongolisch	Mongolische
Kirgizisch	
Servisch	
Belarussisch	
Occitaans	
welkom	welkome
Bretons	
Nauruaans	
Maltees	
Iers	
Georgisch	
Koerdisch	
Bosnisch	
Albanees	
Japannees	
Oekraïens	
maïsgeel	
roos	
Italiaans	
Turks	
één	
Corsicaans	
Faeröers	
Kroatisch	
Chinees	
antoniem	
Cherokee	
Laotiaans	
Bulgaars	
Indonesisch	
Estisch	
IJslands	
Limburgs	
Mongools	
puik	puike
Grieks	
Maleis	
indigo	
Koreaans	
Slowaaks	
Deens	
Kazachs	
Tadzjieks	
Tsjechisch	
Ests	
Perzisch	
Vietnamees	
Nederlands	
Noors	
Oezbeeks	
Russisch	
Engels	
homoniem	
Schots	
Welsh	
Tibetaans	
Waals	
goed	goede
Zweeds	
Duits	
Javaans	
Frans	
homofoon	
Jiddisch	
fout	foute
Nedersaksisch	
baars	
Creools	
Kretenzisch	Kretenzische
Baskisch	Baskische
contant	contante
corrupt	corrupte
calorisch	calorische
nominatief	
Tuvaluaans	
caloriearm	caloriearme
cilindrisch	cilindrische
aaibaar	aaibare
Vlaams	
centrifugaal	centrifugale
Luxemburgs	
chronisch	chronische
Napolitaans	
Tobiaans	
Hawaïaans	
waterachtig	waterachtige
onwerkelijk	onwerkelijke
werkelijk	werkelijke
Manx	
Afrikaans	
crimineel	
insipide	insipidere
ontegenzeglijk	ontegenzeglijke
Estlands	
cluniacenzer	
cisterciënzer	
enkel	
compleet	complete
Birmees	
Elzassisch	
compact	compacte
creatief	creatieve
concurrent	concurrente
commercieel	commerciële
waterdicht	waterdichte
aardedonker	aardedonkere
mooi	mooie
briljantgeel	
zandgeel	
signaalgeel	
grijsbeige	
olijfgeel	
kerriegeel	
bremgeel	
koolzaadgeel	
meloengeel	
verkeersgeel	
eng	enge
klein	kleine
parelmoergoud	
narcissengeel	
present	presente
dahliageel	
roodoranje	
bruinbeige	
parelmoergrijs	
zonnegeel	
pastelgeel	
geeloranje	
groenbeige	
honinggeel	
Bolognees	
parelwit	
barok	
ivoorkleurig	
indicatief	indicatieve
indicatief	indicatieve
charmant	charmante
wonderlijk	wonderlijke
vierkant	
champagne	
aubergine	
aanbiddelijk	aanbiddelijke
arm	
heerlijk	heerlijke
okergeel	
conjunctief	
chic	chique
super	
aangrenzend	aangrenzende
groot	grote
ex	
aangeboren	
citroengeel	
op	
concreet	concrete
waarachtig	waarachtige
waarheidsgetrouw	waarheidsgetrouwe
bewogen	
beige	
rakelings	rakelingse
desperaat	desperate
