zelfstandig naamwoord	zelfstandige naamwoorden	o
bijvoeglijk naamwoord	bijvoeglijke naamwoorden	o
Spanjaard	Spanjaarden	mv
welbespraaktheid	welbespraaktheden	mv
pos	possen	mv
bemoeial	bemoeials	mv
synoniem	synoniemen	o
maandag	maandagen	mv
paus	pausen	mv
woordbetekenis	woordbetekenissen	mv
lul	lullen	mv
lul		mv
Sardinië		o
Japanner	Japanners	mv
zaterdag	zaterdagen	mv
palindroom	palindromen	o
Armeen	Armenen	mv
werkwoord	werkwoorden	o
weed	weedjes	mv
grootje	grootjes	o
Spaanse	Spaansen	mv
januari	januari's	mv
Armeense	Armeensen	mv
augustus	augustussen	mv
Aragonees		mv
vrijdag	vrijdagen	mv
Maltese		mv
februari	februari's	mv
nor	norren	mv
Heer		mv
Chinese	Chinesen	mv
onkruid	onkruiden	o
menigte	menigten	mv
december	decembers	mv
dinsdag	dinsdagen	mv
oktober	oktobers	mv
Fries	Friezen	mv
ik		o
woensdag	woensdagen	mv
U	U's	mv
Portugees		mv
latino	latino's	mv
kameel	kamelen	mv
Bask	Basken	mv
achten		mv
camel		o
een		mv
pilaarheilige	pilaarheiligen	mv
taal	talen	mv
Breton	Bretonnen	mv
twee		mv
asceet	asceten	mv
woordenschat	woordenschatten	mv
discrepantie	discrepanties	mv
ja		o
juli	juli's	mv
minuut	minuten	mv
apotheek	apotheken	mv
etymologie	etymologieën	mv
drie		mv
chinois	chinoises	mv
Aragonese	Aragonesen	mv
Rus	Russen	mv
welkom		o
voer	voeren	o
uur	uren	o
voorganger	voorgangers	mv
bij	bijen	mv
thesaurus	thesauri	mv
Maltees		mv
tedesco	tedesco's	mv
abonnement	abonnementen	o
goudvink	goudvinken	mv
maart	maarten	mv
Albanees		mv
Chinese wolhandkrab	Chinese wolhandkrabben	mv
lidwoord	lidwoorden	o
kazak		mv
kazak		mv
Japannees	Japannezen	mv
remanentie	remanenties	mv
Vietnamese	(Vietnamesen)	mv
maïsgeel		o
roos	rozen	mv
kwartier	kwartieren	o
corso	corso's	o
muizenis	muizenissen	mv
error	errors	mv
homograaf	homografen	mv
donderdag	donderdagen	mv
eschatologie		mv
Azeri		mv
één		mv
appeltaart	appeltaarten	mv
Maori	Maori's	mv
antoniem	antoniemen	o
Cherokee		mv
zeeaster		mv
hielenlikker	hielenlikkers	mv
zondag	zondagen	mv
mijn		mv
mei	meien	mv
hollandaisesaus	hollandaisesausen	mv
snoek	snoeken	mv
lamsoor	lamsoren	mv
bevestiging	bevestigingen	mv
mogol	mogols	mv
juni	juni's	mv
wervelkolom	wervelkolommen	mv
indigo	indigo's	mv
hebben		o
valse kamille		mv
seconde	seconden	mv
botersaus	botersausen	mv
oever	oevers	mv
lemma	lemma's	o
scheenbeen	scheenbenen	o
stuit	stuiten	mv
kuitbeen	kuitbenen	mv
bolhoop	bolhopen	mv
gierzwaluw	gierzwaluwen	mv
september	septembers	mv
karper	karpers	mv
Turk	Turken	mv
hom	hommen	mv
wiki	wiki's	mv
stuitbeen	stuitbenen	o
boot	boten	mv
boot	boots	mv
met		o
november	novembers	mv
hak	hakken	mv
teenkootje	teenkootjes	o
vingerkootje	vingerkootjes	o
onderarm	onderarmen	mv
ruggengraat	ruggengraten	mv
knokkel	knokkels	mv
tent	tenten	mv
paling	palingen	mv
april	aprillen	mv
teen	tenen	mv
kont	konten	mv
pols	polsen	mv
oog	ogen	o
